,MAE,RMSE,MAPE
AutoARIMA,2.8917197452229275e-07,3.1200604273096507e-07,8.072407072570392
AutoETS,2.8837774054189266e-07,3.111626484790263e-07,8.050243910447369
MSTL,2.9021290321777863e-07,3.129036576913652e-07,8.100348940290957
Theta,1.9830309609581258e-07,2.145378055068765e-07,5.530287341265739
TBATS,1.6867678290192725e-07,1.848061080764505e-07,4.701273589929049
DynamicOptimizedTheta,2.0429985918363104e-07,2.2077602340111899e-07,5.69862313543593
SeasonalNaive,2.56687898089172e-07,2.790703401959264e-07,7.156667516074101
